Diseases,Symptoms,Duration,Home-Remedies,Diet,Diagnosis,Prevention,Treatment
Glaucoma,"Blurred vision, distorted vision, vision loss, eye pain with nausea, redness in eyes, soar eyes",Cannot be cured but can be controlled,Nothing,"Fruits, vegetables, things high on vitamin A and C , greens, cabbage, kale, spinach, sprouts, carrots, beans and beets.",Glaucoma imaging test.,"Regular moderate exercise, eye drops etc.","Medication, surgery, eye drop."
Gonorrhea,"painful urination, abnormal discharge, green pus discharge from the vagina or penis, heavier periods or spotting, sore throat, stomach pain or stomach ache in the lower abdomen",2 weeks to few days,Nothing,Nothing,"Swab specimen, urine test.",Avoid sexual contact with infected persons,Medication.
Gout,"joint pain, redness, swelling in joints, difficulty in moving joints, burning sensation in joints or big toe",Long term non curable disease.,Nothing,"low sugar, fruits, vegetables, whole grains, nuts, legumes and eggs.","Joint fluid test, blood test, X ray imaging, ultrasound.","Limit purine rich foods, avoid sugar and alcohol, balance insulin , reduce stress.","Self care, ice packs, exercise, medication."
Hepatitis B,"yellowing of eyes or yellow eyes, stomach pain or stomach ache, dark urine, joint pain, fatigue, vomiting",30 to 180 days.,"Nuts, eggs, seeds, fish, poultry etc","fruits and vegetables, go easy on fats or fried foods, avoid eating raw or undercooked food.","Blood test, HBsAg test.","Avoid direct contact with blood or body fluids, wash ur hands with soap and water, avoid close contact with infected person","Meditation, avoid alcohol, antiviral drug, chronic cases liver transplant is needed."
"Hepatitis C 
","fatigue or nausea, loss of appetite, yellowing of the eyes and yellowing of skin, itchy skin, dark coloured urine, weight loss, stomach pain or stomach ache",12 to 24 weeks depending on the absence or presence of cirrhosis.,"A healthy diet and lifestyle should be maintained, no intake of alcohol or smoking.","Balanced meals, fruits and vegetables, drink enough fluids go easy on fatty, salty and sugary foods get adequate protein.","A blood test, antiHCV test","Avoiding behaviours that can spread the disease, especially injecting drugs (No Vaccine) to prevent.","Medication, Liver transplantation"
Jaundice,"fever, chills or shivering, stomach pain or stomach ache, flu like symptoms, change in skin colour, dark coloured urine or dark coloured stool",2 to 3 weeks,Nothing,"Fluids, opt for fruits, nuts, oatmeal, veggies etc.","Bilirubin test, complete blood count.","Manage your cholesterol, avoid hepatitis infection, stay within alcohol limits.",Nothing
Kwashiorkor,"Delayed growth, a swollen stomach, frequent infection, failure to thrive, loss of appetite",2 to 6 weeks.,Increase the protein  intake.,"Bananas, fruit juice, meat, eggs, vegetables, cereals  etc.","Blood  test, protein levels.",Make sure you eat enough calories and protein rich foods.,By eating more protein and calories overall.
Lead poisoning,"Development delays, stomach pain or stomach ache, neurological changes, hyperactivity, irritability, constipation, nausea or vomiting fatigue, loss of appetite",1 to 6 months,Nothing,"Milk and milk products, green leafy vegetables, calcium intake. ",Blood test.,"Maintain hygiene, clean dusty surface , eat a healthy diet.",Medication.
Leprosy,"light coloured or red skin patches with reduced sensation, numbness in hands and feet and weakness in hands and feet, Painless ulcers on the soles of feet, Painless swelling or lumps on the face or earlobes, Loss of eyebrows or eyelashes",6 to 12 months,Nothing,"Meat, fish, eggs, milk, fruits, vegetables.",Skin or nerve biopsy.,"Avoid contact with people who are infected, early treatment.",Medication (multidrug therapy)
Malaria,"Chills or shivering, fever, sweating, nausea, vomiting, palpitations or fast heart rate, headache",2 to 3 months,"Citrus fruits, ginger, basil, cinnamon( anti- inflammatory)","Having soups, stews or drinking juices or dal water , vitamin B intake is essential.",Blood smear test.,"Avoid mosquito bites by using insect repellent , pest regulation, draining standing water.",Antimalarial drug/ antiparasitic.
Malnutrition,"fatigue, dizziness or weakness, weight loss, loss of appetite, poor concentration, low mood or depression",Few Days to Several Weeks,Nothing,"Milk and dairy products , fruits and vegetables, protein and carbohydrates rich meal.","BMI, blood test, weight loss, physical exams.","Eat a healthy balanced diet, exercise regularly.","High protein diet, rehydration etc."
Measles,"inflamed eyes, sore throat, a red skin rash, fatigue, fever, loss of appetite",5-7 days,"Stay hydrated, try fruit juices, herbal tea etc.","Eating foods rich in vitamin C , patient should be given soft diet , try to avoid greasy foods, fatty foods, products rich in vitamin A.",Koplik’s spot ( bluish white spot) on the inner lining of the cheek.,"Avoid food allergens, MMR vaccine.",Analgesic/ vitaminA supplements.
